popup,lat,lng
CN Tower,43.642509,-79.387039
Royal Ontario Museum,43.6677,-79.3948
Ripley's Aquarium of Canada,43.6425,-79.3861
Casa Loma,43.678,-79.4094
Rogers Centre,43.6414,-79.3894
Toronto Islands,43.6289,-79.3944
St.Lawrence Market South,43.6491,-79.3718
Distillery District,43.6503,-79.3596
Toronto Eaton Centre,43.6544,-79.3807
Harbourfront Centre,43.6388,-79.3819
Art Gallery of Ontario,43.6536,-79.3925
Lake Ontario,43.6333,-77.8271
Hockey Hall of Fame,43.6473,-79.3777
Yorkville,43.6707,-79.393
Niagra Falls,43.0828,-79.0742
EdgeWalk on CN Tower,43.6424,-79.3872
Canada's Wonderland,43.843,-79.5395
Union Station,43.6452,-79.3806
Ontario Science Centre,43.7164,-79.3392
